date,metro_no,pass,changePass,allPass,allChange
2019/7/18,3,525277,285510,,
2019/7/18,4,424987,251012,,
2019/7/18,7,415992,429329,,
2019/7/18,10,43821,37328,,
2019/7/19,1,722587,365865,2824898,1694938
2019/7/19,2,649220,293048,,
2019/7/19,3,535636,293642,,
2019/7/19,4,433645,260189,,
2019/7/19,7,438079,444207,,
2019/7/19,10,45731,37987,,
2019/7/20,1,409970,236368,1973238,1203675
2019/7/20,2,489398,209036,,
2019/7/20,3,406076,217978,,
2019/7/20,4,314850,193802,,
2019/7/20,7,316319,314944,,
2019/7/20,10,36625,31547,,
2019/7/21,1,402372,249851,2051102,1251172
2019/7/21,2,522859,212518,,
2019/7/21,3,434322,227208,,
2019/7/21,4,318218,200324,,
2019/7/21,7,335415,328622,,
2019/7/21,10,37916,32649,,
2019/7/22,1,668202,336140,2559560,1535736
2019/7/22,2,585033,262394,,
2019/7/22,3,479506,262440,,
2019/7/22,4,393398,232890,,
2019/7/22,7,392764,407207,,
2019/7/22,10,40657,34665,,
2019/7/23,1,718184,364671,2785179,1671107
2019/7/23,2,631188,283176,,
2019/7/23,3,537857,291391,,
2019/7/23,4,432909,257009,,
2019/7/23,7,419000,436237,,
2019/7/23,10,46041,38623,,
2019/7/24,1,670814,342780,2583871,1550322
2019/7/24,2,583714,262975,,
2019/7/24,3,487276,267510,,
2019/7/24,4,401557,236068,,
2019/7/24,7,397708,405621,,
2019/7/24,10,42802,35368,,
2019/7/25,1,706631,360998,2748665,1649199
2019/7/25,2,624651,280901,,
2019/7/25,3,530189,287250,,
2019/7/25,4,423082,253219,,
2019/7/25,7,419839,430812,,
2019/7/25,10,44273,36019,,
2019/7/26,1,719862,361999,2799872,1679923
2019/7/26,2,644285,286469,,
2019/7/26,3,535078,293044,,
2019/7/26,4,424890,258382,,
2019/7/26,7,429279,442518,,
2019/7/26,10,46478,37511,,
2019/7/27,1,433443,252113,2097985,1279770
2019/7/27,2,517795,218311,,
2019/7/27,3,448893,232947,,
2019/7/27,4,331398,207402,,
2019/7/27,7,326958,337713,,
2019/7/27,10,39498,31284,,
2019/7/28,1,364445,228595,1897073,1157214
2019/7/28,2,490730,197479,,
2019/7/28,3,401362,209394,,
2019/7/28,4,289609,184831,,
2019/7/28,7,313690,307241,,
2019/7/28,10,37237,29674,,
2019/7/29,1,676765,340905,2557529,1534517
2019/7/29,2,583528,260816,,
2019/7/29,3,479198,261817,,
2019/7/29,4,392283,233489,,
2019/7/29,7,384466,403177,,
2019/7/29,10,41289,34313,,
2019/7/30,1,713099,357434,2727159,1636295
2019/7/30,2,610812,275382,,
2019/7/30,3,516359,284053,,
2019/7/30,4,427505,252853,,
2019/7/30,7,413772,428968,,
2019/7/30,10,45612,37605,,
2019/7/31,1,702559,357667,2724110,1634466
2019/7/31,2,614968,275851,,
2019/7/31,3,525028,286606,,
2019/7/31,4,419075,250497,,
2019/7/31,7,417529,428774,,
2019/7/31,10,44951,35071,,
2019/8/1,1,688130,349144,2682001,1609200
2019/8/1,2,612191,274299,,
2019/8/1,3,519672,280270,,
2019/8/1,4,411746,247217,,
2019/8/1,7,406853,421207,,
2019/8/1,10,43409,37063,,
2019/8/2,1,676806,341611,2619292,1571575
2019/8/2,2,608725,272027,,
2019/8/2,3,499766,274505,,
2019/8/2,4,399774,243875,,
2019/8/2,7,391946,404840,,
2019/8/2,10,42275,34717,,
2019/8/3,1,430746,254497,2124611,1296012
2019/8/3,2,531181,224259,,
2019/8/3,3,459414,238788,,
2019/8/3,4,328282,208038,,
2019/8/3,7,335653,337663,,
2019/8/3,10,39335,32767,,
2019/8/4,1,377074,238223,1970579,1202053
2019/8/4,2,504052,200775,,
2019/8/4,3,427388,222262,,
2019/8/4,4,304260,194039,,
2019/8/4,7,322202,315042,,
2019/8/4,10,35603,31712,,
2019/8/5,1,692392,349717,2686322,1611793
2019/8/5,2,617569,274818,,
2019/8/5,3,520322,281516,,
2019/8/5,4,405547,247806,,
2019/8/5,7,408214,420599,,
2019/8/5,10,42278,37337,,
2019/8/6,1,688871,353935,2714914,1628948
2019/8/6,2,625921,276980,,
2019/8/6,3,533823,287312,,
2019/8/6,4,417945,252902,,
2019/8/6,7,405601,421174,,
2019/8/6,10,42753,36645,,
2019/8/7,1,734930,376044,2873217,1723930
2019/8/7,2,656726,289578,,
2019/8/7,3,571452,307721,,
2019/8/7,4,437037,265176,,
2019/8/7,7,427800,446765,,
2019/8/7,10,45272,38646,,
2019/8/8,1,690182,351985,2700749,1620449
2019/8/8,2,619003,274659,,
2019/8/8,3,524237,284715,,
2019/8/8,4,410343,248301,,
2019/8/8,7,413522,423434,,
2019/8/8,10,43462,37355,,
2019/8/9,1,706466,358579,2770903,1662541
2019/8/9,2,640999,284225,,
2019/8/9,3,536556,293027,,
2019/8/9,4,418265,257564,,
2019/8/9,7,425514,434378,,
2019/8/9,10,43103,34768,,
2019/8/10,1,425729,249405,2071418,1263564
2019/8/10,2,517954,218969,,
2019/8/10,3,438379,231090,,
2019/8/10,4,318990,204071,,
2019/8/10,7,332841,329487,,
2019/8/10,10,37525,30542,,
2019/8/11,1,361426,229518,1902263,1160380
2019/8/11,2,494166,196740,,
2019/8/11,3,404824,211382,,
2019/8/11,4,290437,187110,,
2019/8/11,7,315642,306184,,
2019/8/11,10,35768,29446,,
2019/8/12,1,685628,343502,2639455,1583673
2019/8/12,2,598566,267074,,
2019/8/12,3,507197,275398,,
2019/8/12,4,404452,243615,,
2019/8/12,7,400786,417373,,
2019/8/12,10,42826,36711,,
2019/8/13,1,681351,344242,2608142,1564885
2019/8/13,2,592854,263610,,
2019/8/13,3,500581,273505,,
2019/8/13,4,397851,239917,,
2019/8/13,7,394088,408903,,
2019/8/13,10,41417,34708,,
2019/8/14,1,683800,345444,2621112,1572667
2019/8/14,2,591474,264065,,
2019/8/14,3,505153,275068,,
2019/8/14,4,399642,241779,,
2019/8/14,7,399982,410480,,
2019/8/14,10,41061,35831,,
2019/8/15,1,671604,335807,2575381,1545228
2019/8/15,2,585942,261143,,
2019/8/15,3,490292,269370,,
2019/8/15,4,391265,239107,,
2019/8/15,7,396746,405208,,
