batch_date,batch_time,speed
2019-01-03,4:40,52.03281167
2019-01-03,4:50,52.11089906
2019-01-03,5:00,52.19344222
2019-01-03,5:10,52.05354605
2019-01-03,5:20,52.01762882
2019-01-03,5:30,51.98837024
2019-01-03,5:40,51.90839876
2019-01-03,5:50,51.90736227
2019-01-03,6:00,51.82472085
2019-01-03,6:10,51.62102762
2019-01-03,6:20,51.34212133
2019-01-03,6:30,50.90447353
2019-01-03,6:40,50.28144764
2019-01-03,6:50,49.48833416
2019-01-03,7:00,48.61542377
2019-01-03,7:10,47.32060051
2019-01-03,7:20,45.54437851
2019-01-03,7:30,43.7394621
2019-01-03,7:40,41.65539643
2019-01-03,7:50,39.59351057
2019-01-03,8:00,37.87811847
2019-01-03,8:10,36.49558136
2019-01-03,8:20,35.2905702
2019-01-03,8:30,34.59704558
2019-01-03,8:40,34.30972333
2019-01-03,8:50,34.23131847
2019-01-03,9:00,34.57635677
2019-01-03,9:10,35.24592701
2019-01-03,9:20,35.57585186
2019-01-03,9:30,35.65617214
2019-01-03,9:40,35.64809826
2019-01-03,9:50,35.56415639
2019-01-03,10:00,35.46617186
2019-01-03,10:10,35.40740182
2019-01-03,10:20,35.42545738
2019-01-03,10:30,35.4686329
2019-01-03,10:40,35.6528751
2019-01-03,10:50,35.82430128
2019-01-03,11:00,36.07946333
2019-01-03,11:10,36.42558172
2019-01-03,11:20,36.76627509
2019-01-03,11:30,37.14728488
2019-01-03,11:40,37.55499658
2019-01-03,11:50,38.00495283
2019-01-03,12:00,38.54294994
2019-01-03,12:10,39.13275045
2019-01-03,12:20,39.6671068
2019-01-03,12:30,40.31520239
2019-01-03,12:40,40.79361891
2019-01-03,12:50,41.09175775
2019-01-03,13:00,41.15769055
2019-01-03,13:10,41.01452382
2019-01-03,13:20,40.61968439
2019-01-03,13:30,40.08127375
2019-01-03,13:40,39.46757129
2019-01-03,13:50,38.76687446
2019-01-03,14:00,38.1441375
2019-01-03,14:10,37.76938258
2019-01-03,14:20,37.42493276
2019-01-03,14:30,37.17166263
2019-01-03,14:40,37.00246658
2019-01-03,14:50,36.88514966
2019-01-03,15:00,36.90342146
2019-01-03,15:10,36.96806004
2019-01-03,15:20,36.97217036
2019-01-03,15:30,36.9182068
2019-01-03,15:40,36.94713822
2019-01-03,15:50,36.91401012
2019-01-03,16:00,36.94421767
2019-01-03,16:10,36.95378564
2019-01-03,16:20,36.87879947
2019-01-03,16:30,36.76632948
2019-01-03,16:40,36.68238701
2019-01-03,16:50,36.47091161
2019-01-03,17:00,36.33158588
2019-01-03,17:10,35.91725597
2019-01-03,17:20,34.85443843
2019-01-03,17:30,34.01673896
2019-01-03,17:40,33.52015453
2019-01-03,17:50,32.57291065
2019-01-03,18:00,31.79174691
2019-01-03,18:10,31.56371749
2019-01-03,18:20,31.07236355
2019-01-03,18:30,30.82129763
2019-01-03,18:40,31.25964261
2019-01-03,18:50,32.04426801
2019-01-03,19:00,32.98924225
2019-01-03,19:10,34.01427625
2019-01-03,19:20,34.91213954
2019-01-03,19:30,35.76238603
2019-01-03,19:40,36.53874519
2019-01-03,19:50,37.13927929
2019-01-03,20:00,37.57477139
2019-01-03,20:10,37.78094335
2019-01-03,20:20,37.71548175
2019-01-03,20:30,37.74917637
2019-01-03,20:40,37.93737263
2019-01-03,20:50,38.15513206
2019-01-03,21:00,38.44015942
2019-01-03,21:10,38.78614918
2019-01-03,21:20,39.0476138
2019-01-03,21:30,39.39379089
2019-01-03,21:40,39.83140923
2019-01-03,21:50,40.25917683
2019-01-03,22:00,40.78581273
2019-01-03,22:10,41.25039946
2019-01-03,22:20,41.54013055
2019-01-03,22:30,42.02836162
2019-01-03,22:40,42.65616535
2019-01-03,22:50,43.21795774
2019-01-03,23:00,43.74206802
2019-01-03,23:10,44.21442336
2019-01-03,23:20,44.83791137
2019-01-03,23:30,45.29665734
2019-01-03,23:40,45.55635231
2019-01-03,23:50,45.80567252
2019-01-04,0:00,46.11117948
2019-01-04,0:10,46.31006873
2019-01-04,0:20,46.4547554
2019-01-04,0:30,46.68507936
2019-01-04,0:40,46.92077123
2019-01-04,0:50,47.17846337
2019-01-04,1:00,47.45387696
2019-01-04,1:10,47.67635008
2019-01-04,1:20,47.95468895
2019-01-04,1:30,48.18240893
2019-01-04,1:40,48.35676583
2019-01-04,1:50,48.56625638
2019-01-04,2:00,48.7374199
2019-01-04,2:10,48.92043554
2019-01-04,2:20,49.14947948
2019-01-04,2:30,49.35202238
2019-01-04,2:40,49.50825682
2019-01-04,2:50,49.61365767
2019-01-04,3:00,49.74492675
2019-01-04,3:10,49.92418648
2019-01-04,3:20,50.1682931
2019-01-04,3:30,50.37044721
2019-01-04,3:40,50.5813683
2019-01-04,3:50,50.77477582
2019-01-04,4:00,51.01899671
2019-01-04,4:10,51.20075297
2019-01-04,4:20,51.42426832
2019-01-04,4:30,51.53964102
2019-01-04,4:40,51.57898891
2019-01-04,4:50,51.66250955
2019-01-04,5:00,51.75044714
2019-01-04,5:10,51.61590666
2019-01-04,5:20,51.58530648
2019-01-04,5:30,51.56132643
2019-01-04,5:40,51.48659503
2019-01-04,5:50,51.4907603
2019-01-04,6:00,51.41328243
2019-01-04,6:10,51.21471462
2019-01-04,6:20,50.94089574
2019-01-04,6:30,50.50829746
2019-01-04,6:40,49.89028331
2019-01-04,6:50,49.10214389
2019-01-04,7:00,48.23417001
2019-01-04,7:10,46.94424582
2019-01-04,7:20,45.17288557
2019-01-04,7:30,43.37279371
2019-01-04,7:40,41.29351551
2019-01-04,7:50,39.23638017
2019-01-04,8:00,37.52570175
